Age,Gender,Education Level,Marital Status,Income,Credit Score,Loan Amount,Loan Purpose,Employment Status,Years at Current Job,Payment History,Debt-to-Income Ratio,Assets Value,Number of Dependents,City,State,Country,Previous Defaults,Marital Status Change,Risk Rating
49,Male,PhD,Divorced,100019.69769730783,723.0,45713.0,Business,Unemployed,19,Fair,0.1543132963127006,120228.0,0.0,Port Elizabeth,AS,Cyprus,2.0,2,Low
25,Non-binary,Master's,Widowed,67507.6484977481,791.0,36528.0,Personal,Unemployed,10,Good,0.1432424240204613,287140.0,,New Heather,IL,Namibia,3.0,1,Low
31,Non-binary,PhD,Widowed,51144.93759492832,693.0,6553.0,Personal,Self-employed,1,Excellent,0.3788899374153178,,,West Lindaview,MD,Bouvet Island (Bouvetoya),0.0,1,Low
18,Male,Master's,Widowed,124977.73339185782,,,Business,Unemployed,10,Fair,0.3966357236164678,246597.0,1.0,Melissahaven,MA,Honduras,1.0,1,Low
32,Non-binary,Master's,Widowed,23087.427229215005,758.0,,Auto,Unemployed,4,Good,0.335964977578598,227599.0,0.0,North Beverly,DC,Pitcairn Islands,4.0,2,Low
55,Male,Master's,Married,45748.18363856825,642.0,29918.0,Personal,Self-employed,5,Excellent,0.4843333045593678,130507.0,4.0,Davidstad,VT,Thailand,,2,Low
37,Non-binary,PhD,Divorced,113016.02746532991,745.0,,Home,Self-employed,17,Fair,0.19392128861142,272522.0,,Orrstad,OH,Antarctica (the territory South of 60 deg S),3.0,2,Low
68,Female,PhD,Divorced,,,42951.0,Auto,Self-employed,6,Good,0.5507459353458977,67070.0,4.0,East Kristin,MH,Guadeloupe,2.0,2,Low
60,Non-binary,Master's,Divorced,,782.0,37001.0,Business,Employed,7,Good,0.3389709731866936,53055.0,,Johnsonstad,MS,Malawi,1.0,2,Low
64,Non-binary,Master's,Divorced,141337.60473966907,739.0,41029.0,Business,Unemployed,10,Fair,0.2283514732418546,,1.0,West Meghanshire,KS,Oman,3.0,1,Low
55,Female,Associate's,Divorced,72790.87870060626,686.0,43859.0,Auto,Self-employed,18,Excellent,0.1997070863614007,185670.0,,Aprilland,NH,Uruguay,,0,Low
41,Male,PhD,Single,140165.16094417812,786.0,,Business,Unemployed,16,Excellent,0.3558083758731121,129119.0,2.0,Brittanyton,VI,Gambia,3.0,0,Low
41,Male,PhD,Married,131559.02274997908,838.0,14052.0,Business,Employed,13,Fair,0.2828500570626953,82774.0,0.0,Lewisland,AZ,South Georgia and the South Sandwich Islands,1.0,0,Low
64,Female,PhD,Married,,772.0,38635.0,Personal,Self-employed,16,Good,0.320230266469369,,3.0,West James,OR,Palau,0.0,1,Low
64,Male,PhD,Married,,656.0,21086.0,Auto,Employed,13,Good,0.460985402435174,261445.0,,South Ryan,IA,Tokelau,4.0,2,Low
49,Non-binary,Associate's,Divorced,151932.31364631595,,35938.0,Home,Unemployed,3,Excellent,0.4894376745909073,237388.0,,Pattersonshire,GA,Hungary,2.0,0,Low
48,Non-binary,PhD,Married,68370.15138347771,661.0,48403.0,Personal,Unemployed,16,Excellent,0.1853253064176966,93647.0,3.0,South Jason,KS,Guyana,1.0,0,Low
69,Non-binary,PhD,Single,46390.76743487451,,15818.0,Business,Self-employed,8,Fair,0.3919793130724543,107451.0,3.0,South Peterbury,ID,Cote d'Ivoire,0.0,1,Low
57,Female,Master's,Widowed,,701.0,16398.0,Business,Self-employed,8,Good,0.4837843450016977,159119.0,1.0,West Michael,TN,Nauru,1.0,0,Low
46,Non-binary,Associate's,Widowed,,683.0,6382.0,Auto,Self-employed,2,Excellent,0.5443904001187262,156010.0,4.0,Kevinbury,NM,Guam,2.0,1,Low
41,Non-binary,Associate's,Divorced,126280.85968150583,633.0,5252.0,Home,Self-employed,16,Fair,0.4544580365816256,,2.0,South Josefurt,OR,Belize,,2,Low
47,Female,Associate's,Single,38296.91825604906,831.0,6895.0,Auto,Self-employed,2,Good,0.1166809155307733,158428.0,3.0,West Sharon,AL,Seychelles,2.0,0,Low
64,Male,PhD,Single,,,,Personal,Unemployed,16,Excellent,0.4584813509673704,108664.0,,Lake Joshuahaven,MO,Sao Tome and Principe,,1,Low
35,Female,PhD,Divorced,55258.29600558853,,14949.0,Home,Employed,19,Excellent,0.2249910829584871,227655.0,4.0,West Donna,WY,Svalbard & Jan Mayen Islands,2.0,2,Low
18,Female,PhD,Divorced,,782.0,14522.0,Home,Unemployed,14,Excellent,0.5628099578361062,176629.0,,Campbellfort,AL,China,1.0,2,Low
21,Male,Master's,Widowed,106893.74264413405,663.0,49525.0,Auto,Unemployed,3,Excellent,0.1436440906212159,32912.0,0.0,West Denisebury,KY,French Guiana,1.0,2,Low
67,Non-binary,PhD,Divorced,64607.31219121525,,5011.0,Personal,Unemployed,7,Excellent,0.3446518832880136,239162.0,3.0,Mataside,AZ,Iceland,0.0,0,Low
30,Female,Master's,Divorced,71047.23752923426,725.0,,Business,Unemployed,8,Excellent,0.4240794529319718,279118.0,3.0,Mckeeborough,RI,Martinique,2.0,0,Low
28,Non-binary,Master's,Married,87944.38371016066,,46898.0,Personal,Employed,12,Excellent,0.5162554971778389,89494.0,1.0,Conniehaven,VT,Tajikistan,3.0,2,Low
68,Female,PhD,Single,72284.43960689584,,34783.0,Auto,Employed,3,Excellent,0.2357605393664252,270400.0,,West Patrick,WY,Bouvet Island (Bouvetoya),0.0,2,Low
59,Non-binary,Master's,Married,100935.04272567606,,45345.0,Personal,Self-employed,9,Fair,0.4715306288854488,208180.0,1.0,South Heather,DE,Kuwait,4.0,1,Low
64,Non-binary,Master's,Married,,808.0,,Business,Employed,6,Good,0.3020388782889981,272412.0,2.0,Williamston,WV,British Indian Ocean Territory (Chagos Archipelago),1.0,0,Low
27,Non-binary,Master's,Married,140415.51934184795,770.0,,Auto,Unemployed,11,Fair,0.4071845094221763,203446.0,1.0,West Davidchester,AS,Singapore,,1,Low
36,Male,Master's,Divorced,32956.4132871471,674.0,12521.0,Auto,Employed,17,Excellent,0.3504541332462523,240325.0,2.0,Wendyshire,ND,Dominica,4.0,0,Low
36,Female,PhD,Married,80731.30193484284,643.0,47707.0,Personal,Unemployed,11,Good,0.3323967910462594,68491.0,0.0,Port Christopher,NY,Brunei Darussalam,1.0,1,Low
19,Non-binary,PhD,Single,155158.84468830295,736.0,15503.0,Home,Unemployed,7,Fair,0.2521728540168538,194154.0,0.0,Ibarraport,NJ,Zimbabwe,4.0,0,Low
39,Non-binary,PhD,Widowed,140985.24010765334,691.0,10656.0,Home,Self-employed,12,Fair,0.1856345037643098,168504.0,1.0,Dennismouth,WY,Serbia,,2,Low
34,Female,PhD,Widowed,79178.73929742874,,11753.0,Personal,Unemployed,12,Good,0.3195001752623789,90851.0,,Hinesberg,DE,Kazakhstan,0.0,2,Low
65,Male,PhD,Divorced,142286.91943757446,675.0,23161.0,Auto,Employed,19,Fair,0.5448673968438962,98025.0,4.0,Richardbury,ID,Armenia,0.0,0,Low
68,Non-binary,PhD,Married,,746.0,23834.0,Auto,Employed,1,Excellent,0.1681237087440422,147082.0,4.0,Johnsonview,IL,Netherlands,2.0,0,Low
20,Male,PhD,Widowed,,723.0,16283.0,Home,Self-employed,4,Excellent,0.4660755261407789,144758.0,3.0,New Laurabury,MA,Somalia,1.0,1,Low
62,Female,Master's,Single,44773.32009641209,826.0,,Personal,Self-employed,7,Excellent,0.1439361009741252,226298.0,1.0,South Darrell,VI,Latvia,,1,Low
66,Female,Master's,Single,,,23993.0,Personal,Self-employed,19,Fair,0.150792728571523,60925.0,2.0,Thomasmouth,MP,French Southern Territories,,2,Low
31,Female,Master's,Married,79544.42527209112,683.0,15188.0,Home,Unemployed,19,Excellent,0.5066343734916606,,0.0,Davisport,NJ,Sao Tome and Principe,1.0,0,Low
39,Female,PhD,Widowed,111710.5186931299,654.0,23114.0,Business,Unemployed,14,Fair,0.4846424905205113,85309.0,0.0,New Meganshire,NV,French Polynesia,3.0,0,Low
50,Female,PhD,Divorced,130963.06394401276,743.0,21552.0,Auto,Employed,3,Excellent,0.1293942097228341,255942.0,4.0,Port Amy,FM,Egypt,0.0,1,Low
